score,genre,lyrics
1,리뷰,저같은 통통이도 1사이즈시켰는데 넉넉하게입을수있었어요
1,리뷰,청치마에 넣어입어도 이쁘고 빼입고 청바지에 입어도 이쁜데 저는 청치마에 입는거 추천드리고 싶어요.
1,리뷰,몸무게 70넘고요 평소사이즈 100아니면 XL입는데
1,리뷰,이거는 그냥 오버핏이 아니라 남친꺼 뺏어입은것처럼 커요 근데 이뻐요 저는 색상 화이트랑 진베이지샀는데 진베이지가 더 이쁜것같아요!
1,리뷰,사이즈 고민하다가 리뷰보고 1샀는데 딱이네요
1,리뷰,길이도 사이즈도 재질도 굿굿 저같이 통통66에 바지30입으신분들 1사셔도 될것같아요
1,리뷰,사이즈는 2(77~99)사이즈 시켰는데 작지도 많이 크지도 않고
1,리뷰,치마안에 넣어입기도좋고 걸쳐입기도 좋아서 만족스러워요
1,리뷰,음..근데 저와 같은 덩치를 가지신 분들 넉넉하게 입고싶다면 2를 시키고 저보다 덩치작은신 분들은 2시키면 클거라고 생각합니다!
1,리뷰,77사이즈와 88사이즈의 중간 쯤에 끼어 있고 키 작은 분들에게 제 후기가 도움이 되기를 바라요. :-)
1,리뷰,"흰 셔츠를 사서 레이어드용으로 입을지, 어두운 컬러를 사서 단독이나 아우터로 입을지 고민 많이 하다가, 네이비를 산 사람이 많이 없는 것 같아 한 번 사 봤어요(도전정신...!). 일단 확실한 건, 모델피팅 이미지와 비교했을 때 컬러와 사이즈가 약간 다르다는 거예요."
1,리뷰,"사이즈의 경우, 77~88 정도니까 1 사이즈를 사야겠다고 생각하는 분이 계시다면, 2를 사시는 게 좋을 것 같아요."
1,리뷰,2 사이즈가 그렇게 아방하다는 느낌이 없어요.
1,리뷰,넉넉한 루즈핏 셔츠 사이즈예요.
1,리뷰,"적당히 잘 맞는 사이즈로 입고 싶다면 1 사이즈를, 루즈핏으로 입고 싶은 분들은 2 사이즈를 사시길 추천드려요."
1,리뷰,"기장은 꽤 길어서, 사실 아우터 대용으로 입기는 조금 힘들 것 같아요."
1,리뷰,바지 안에 넣어서 입기에는 좋지만 밑단까지 다 빼서 입자니 정말 원피스같이 될 것 같아요.
1,리뷰,"살이 빠지면 상대적으로 기장이 길어질 것 같으니, 그 때는 벨트랑 같이 매치해서 셔츠원피스 느낌으로 코디해도 될 것 같구요."
1,리뷰,길이가 길다는 거 꼭 알아주세요
1,리뷰,저는 크다는 리뷰 보고도 더 크게 입고 싶어서 사이즈 2 샀는데 걸쳐입기엔 저는 괜찮은것같아요
1,리뷰,완전 이쁘고 저가좋아하는 사이즈길이만큼이네요
1,리뷰,코트 안에 입어도 이쁘규 검정스키니나 슬랙스에 입어도 넘나 이쁜것 다른 색깔로 하나 더 구매할까 생각중입니당 키가 168에 덩치도 있어서 총기장이나 너비 이런거 잘 보는데 넉넉하니 너무 좋아요!
1,리뷰,넉넉하게 입고싶어서 2를 주문했습니당
1,리뷰,생각보단 조금 크고 길이도..길어서 엄마께 잔소리좀들었습니다ㅠㅠㅠㅠ
1,리뷰,하지만 전 크고넉넉한걸좋아해서 맘에들어욥
1,리뷰,기장도 빼던 넣던 다 이쁘구요 ㅎㅎㅎㅎㅎ
1,리뷰,같은옷 같은사이즈를 색상만 다르게 구매했는데 소매길이가 왜 다른거죠?
1,리뷰,165cm 에 80kg 나가는데 사이즈도 적당하고 예뻐요!! ㅎㅎ
1,리뷰,거의 평균 남자 어깨길이 정도 해서 왠만한 셔츠는 잘 못입거든요 ㅠ
1,리뷰,근데 이건 맞아서 좋아요!!
1,리뷰,길이가 좀 길어요
1,리뷰,사이즈1인데 너무 큽니다 예전에도 셔츠를 여기서 샀는데 엄청컸던 사실을 기억하고 있었지만 이번에도 놀랍게 큽니다
1,리뷰,세상에나 크기 정말 커요
1,리뷰,사이즈보고 모델사진도 보고 어느정도 핏이.나오겠구나
1,리뷰,상상했는데 어마어마하게 커요
1,리뷰,길이가 후드티보다 훨씬길어서 살짝 안으로 넣어입어야합니다
1,리뷰,사진과 같이 적당히 맞아요
1,리뷰,넉넉해요
1,리뷰,총길이가 생각보다 길어서 당황했지만 어차피 하의 안에 넣어입을 생각으로 구매한거라 괜찮았어요ㅎㅎ
1,리뷰,넉넉해서 좋고 가을에 이너로 잘 입을 것 같습니다~
1,리뷰,멘토스 셔츠 사이즈도 굿!청바지에도 잘어울려용♡
1,리뷰,크게 입는걸 좋아해서 2로해서 시켰는데 딱 원하는 사이즈로 받았습니다ㅎㅎ
1,리뷰,길이도 적당하고 가을에 자켓대용으로 입으니 딱이네요
1,리뷰,크지만 넣어서 입으면 예뻐요!
1,리뷰,청바지안에 넣어입어도 예쁘고 날씨가 더 따듯해지면 아우터로도 좋을듯 하네요ㅎㅎ
1,리뷰,사진에서 보는것처럼 팔부분이 통이커서 여리여리해보입니다~ 네이비샀는데 진한네이비여서 청바지에 입으면 위아래 어두워서 조끼에 바쳐서 입었는데 그래도 예쁩니당! 날씨가 좀 덜추웠으면 외투처릠입어도 예쁠것같아요~~
1,리뷰,그런데 딱 맞지도않고 넉넉한핏이여서 너무좋아요
1,리뷰,일단 폼이 엄~~~~~청 커요 혹시몰라서 2사이즈 시켯는데 1사이즈 시키셔도 될거같아요.
1,리뷰,그리고 길이가 생각보다 많이 길어서 엉덩이도 가뿐히 가리는 길이에요
1,리뷰,사이즈 어찌할지 몰라
1,리뷰,상당히 넉넉하고 좋네요~^^
1,리뷰,면.. 1로 구입하셔도 넉넉하세욥
1,리뷰,가슴 110인데 1도 잘맞아요
1,리뷰,배송도 생각보다 매우 빨랐고 옷도 암맞으면 어떡하나 걱정이 많이 됐지만 그럴 필요 없이 옷이 넉넉히 남고 옷 색깔도 너무 마음에 들어요!
1,리뷰,♡ 품이 커서 밑단 넣어서 입기는 좀 힘든거 같아요
1,리뷰,보통 여자셔츠 밑반이 짤막하게 느껴지기도 하고
1,리뷰,바지 속에 넣어입기 불편했는데
1,리뷰,이거길이도 좋아서 바지속에 밑단 넣어 입기도 좋았어요
1,리뷰,저는 173에 78정도고 상의는 88많이 입는데요 충분희 넉넉해요
1,리뷰,바지안에 넣어 입으면 진짜 이쁘고요 한가지 아쉬운점이 있다면
1,리뷰,밑에부분이 조금 더 넓으면 이쁜것 같다는 느낌??
1,리뷰,키가 177이어서 어깨가 깡팬데 1사이즈도 충분히 커버가 되었습니다....!!!
1,리뷰,"품이 엄청 커서 약간 둔해보일줄알았는데, 잘 입으면 또 이쁘고 귀여워보이더라구요."
1,리뷰,진심너무이뻐영 잘맞아요 널널하고 안에두꺼운티입어도 널널함 길이도 엉덩이가려지고
1,리뷰,혹시나 작을까봐 2사이즈로 샀는데 안해도 될걱정이였어요
1,리뷰,엉덩이까지 다 덮는 길이입니당
1,리뷰,근데 전 오버핏을 좋아해서 사이즈 교환은 안할 생각이에용!
1,리뷰,길이도 짧지않고 넉넉하고 좋아요ㅎㅎ
1,리뷰,168인데 길이 딱입니다.
1,리뷰,카키를 2사이즈로 샀다가 너무 커서 진베이지는 1로 바꿨는데 정말정말 잘한것 같아요!!
1,리뷰,"카키는 박시한 느낌대로 이쁘긴하지만 너무 박시해서 덩치가 좀더 있는 느낌이였는데, 진베이지는 1사이즈인데도 굉장히크고 단추 잠그고도 여유가 있고 팔길이며 모든게 적당하고 너무너무 이쁜것같아요!!!????"
1,리뷰,사이즈 초이스를 잘한것 같습니다!!
1,리뷰,제가 77~88정도 입는데 1사이즈도 큼니다!!
1,리뷰,저랑 비슷한 체형이신 분들중에 적당한 사이즈의 이쁜핏 원하시면 1하시고 엄청난 박시핏 좋아하시는 분은 2입으시면 될꺼같아요ㅎㅎ
1,리뷰,너무 편하고 이쁘고 팔 뱃살 다가려주고 길이도 길어서 바지에 그냥입거나 위에 니트입고 레깅스신어도 이뻐요
1,리뷰,저도 처음엔 사이즈가 작지않을까 고민했지만 사보니깐 너무커서 깜짝 놀랐어요ㅎㅎ
1,리뷰,한사이즈 작은걸로 사도 될것같았어요ㅎ
1,리뷰,88입어서 2짜리 시켰는데 품도크고 길이도 길어요~
1,리뷰,많이 넉넉합니다~~
1,리뷰,덩치가커서 오버핏할만한개있을까
1,리뷰,원래77사이즈인데 후기에 크다는 말이 많아서 1사이즈 시켰습니다
1,리뷰,사이즈가 크게나온것같아요 2번은 77이상이 입으시면 좋을것같아요
1,리뷰,와이셔츠 자체가 품이 엄청커서 안맞을거같은 걱정 없어요
1,리뷰,평소에 88ㅡ99 나 100 사이즈 입으시는 분들은 걱정말고 꼭 구매하세요
1,리뷰,그래도 이뻐요 핏이며 기장이며 딱이쁘네요
1,리뷰,길이 적당 !
1,리뷰,또 길이도 길어서 저처럼 이너로 입어도 될 것 같아요
1,리뷰,사이즈도 넉넉하고 귀여워욯ㅎㅎ 색깔을 밝은걸 사서 얼굴도 환해보이고 짱 추천합니당 ㅎㅎㅎ!!!
1,리뷰,하지만 예쁜 핏이라 바지에 입기도 치마에 넣어 입기도 편하네요
1,리뷰,오동통한 체형이라 동그래보일 줄 알고 살짝 걱정했는데 그런 걱정 넣어둬도 되겠어요
1,리뷰,핫핑에서 산거중에서는 길이는 긴데 제일 슬림핏같애요.
1,리뷰,리뷰에는 1사이즈도 무지 크다고했는데
1,리뷰,2사이즈도 평소 박시한 셔츠 좋아하시면 그닥 박시핏아닌듯요.
1,리뷰,재질도 다른 블라우스와 다르게 좋았고 사이즈도 넉넉해서 좋았어요
1,리뷰,다른것들은 가슴이 안맞았는데 이건 벌어지지도 않고 딱맞아서 최고 !
1,리뷰,2사이즈 구매하려다가 리뷰보고 1사이즈로 주문했는데 탁월한 선택.. 옷이 굉장히 크게 나온듯해요
1,리뷰,사이즈도 넉넉하고 길이도 좋아서 아우터로 입기도 좋고 하의안에 넣어입기도 너무 좋은것같아요!!
1,리뷰,진짜 폼 넉넉하게 입어야지(입을 수 있을까)생각하면서 2로 샀는데 저도 넉넉하게 입을 수 있었어요!
1,리뷰,2 샀는데 커요 펑펑해요
1,리뷰,6~77 입는데 커요 2싸이즈도 근데 이뻐서 다른것도 2살까 생각중이용><♡
